,geometry
13746,POINT (30.2679278 59.9403944)
13748,POINT (30.2709345149289 59.9414002)
13756,POINT (30.2815097884772 59.94607610000001)
13872,POINT (30.2778553 59.94111820000001)
13997,POINT (30.2853863108204 59.94114955)
14000,POINT (30.2803239 59.9419504)
14072,POINT (30.2756626 59.9430578)
14094,POINT (30.2638947237244 59.94080940000001)
14095,POINT (30.27317352606 59.93784125)
14106,POINT (30.2614635439515 59.9444876)
14341,POINT (30.2855415130014 59.93757220000001)
14401,POINT (30.2849713027017 59.93724615)
14418,POINT (30.26994740334431 59.93388835)
14427,POINT (30.2690032189287 59.94714855)
14443,POINT (30.2679278 59.9403944)
14463,POINT (30.28112883071689 59.9471254)
14467,POINT (30.27088 59.9465)
14468,POINT (30.2702992031535 59.94701255)
14546,POINT (30.28452589999999 59.93771949999999)
14580,POINT (30.2743394541225 59.9405275)
14591,POINT (30.28482935028661 59.9416574)
14695,POINT (30.276002563182 59.93998115)
14714,POINT (30.28452589999999 59.93771949999999)
14795,POINT (30.2760434 59.94795670000001)
14810,POINT (30.2657998926791 59.9416573)
14811,POINT (30.2731587765329 59.9438333)
14815,POINT (30.2839803 59.93603270000001)
14826,POINT (30.2789517992424 59.94528685)
14837,POINT (30.2783258906592 59.94593885)
14987,POINT (30.2906362633354 59.93903565)
15008,POINT (30.2575228715842 59.93029420000001)
15014,POINT (30.2855807044704 59.9425318)
15063,POINT (30.28422646524761 59.94271725)
15096,POINT (30.2845555924253 59.93704145)
15141,POINT (30.2690032189287 59.94714855)
15144,POINT (30.25992652314811 59.9465005)
15151,POINT (30.281452 59.9403925)
15168,POINT (30.2677588 59.94439540000001)
15175,POINT (30.28141066846069 59.9457122)
15186,POINT (30.2571781570796 59.9459308)
15369,POINT (30.2831636 59.9418743)
15370,POINT (30.2782218 59.9408201)
15380,POINT (30.281452 59.9403925)
15450,POINT (30.2665749370968 59.9437943)
15451,POINT (30.2696219019065 59.93266759999999)
15460,POINT (30.26922870000001 59.93399820000001)
15461,POINT (30.2777453 59.94937289999999)
15732,POINT (30.28145850000001 59.9409952)
15740,POINT (30.280978 59.94125210000001)
15765,POINT (30.2871737 59.94411329999999)
15776,POINT (30.2857068180514 59.94242389999999)
15801,POINT (30.2881924 59.9439233)
15812,POINT (30.270468386834 59.94474815)
15821,POINT (30.2868511 59.9450914)
15824,POINT (30.2640523 59.943884)
15825,POINT (30.2754854 59.94239)
15833,POINT (30.2762862823423 59.94409005)
15834,POINT (30.2626463526942 59.94428865)
15838,POINT (30.2693440034311 59.9448938)
15857,POINT (30.2670211 59.9329711)
15858,POINT (30.2642422695108 59.94703565)
15898,POINT (30.28495778937311 59.9438772)
16107,POINT (30.292067 59.94000550000001)
16138,POINT (30.2777124 59.9436811)
16146,POINT (30.2711634043283 59.94293445)
16162,POINT (30.2703357 59.9298774)
16257,POINT (30.26510975 59.94514005)
16261,POINT (30.2899529 59.9417601)
16404,POINT (30.2796966 59.9419057)
16415,POINT (30.2728793789255 59.93877055)
16457,POINT (30.2852654326624 59.94357585)
16461,POINT (30.28702148671081 59.9420958)
16474,POINT (30.2913414608531 59.9404955)
16498,POINT (30.27131299752311 59.93432610000001)
16520,POINT (30.2690032189287 59.94714855)
16530,POINT (30.2873362 59.9447042)
16535,POINT (30.278759 59.943769)
16617,POINT (30.2545155 59.9320755)
16626,POINT (30.2905831401167 59.9392899)
16692,POINT (30.2847516 59.93753349999999)
16786,POINT (30.2926633220468 59.93935)
16876,POINT (30.2729879717504 59.9396952)
17107,POINT (30.278525 59.9399772)
17110,POINT (30.2846532 59.9434303)
17116,POINT (30.2844094 59.94071429999999)
17128,POINT (30.279605 59.9396838)
17172,POINT (30.287563 59.9416719)
17195,POINT (30.2703357 59.9298774)
17209,POINT (30.2694749115327 59.94185645)
17211,POINT (30.2635383 59.9386045)
17214,POINT (30.2655107 59.9394637)
17219,POINT (30.2606814124604 59.94423605)
17235,POINT (30.27224558862189 59.9388402)
17306,POINT (30.2766243203056 59.94375079999999)
17416,POINT (30.2853911168242 59.942126)
17465,POINT (30.2789252 59.9402351)
17515,POINT (30.2809433 59.9416899)
17573,POINT (30.2614374 59.943503)
17580,POINT (30.2785913351813 59.94539570000001)
17585,POINT (30.2777453 59.94937289999999)
17600,POINT (30.2692081023294 59.9377608)
17696,POINT (30.287244 59.94582560000001)
17759,POINT (30.2802533 59.94143889999999)
17934,POINT (30.27473659782461 59.94687679999999)
17984,POINT (30.26952229373111 59.93836475)
17987,POINT (30.2798124983356 59.94589029999999)
18065,POINT (30.27657631509189 59.94454925)
18148,POINT (30.2817562 59.9401186)
18187,POINT (30.28352915140661 59.94319555)
18217,POINT (30.2850582 59.9466146)
18248,POINT (30.2689279227702 59.9314522)
18252,POINT (30.26211205759989 59.94303215)
18255,POINT (30.26665526874011 59.94431155)
18378,POINT (30.2698432 59.9364335)
18382,POINT (30.26970568506169 59.93370065)
18404,POINT (30.28622652714089 59.94280975)
18412,POINT (30.2820283 59.9375215)
18475,POINT (30.2760947042232 59.93899335)
18479,POINT (30.2776221 59.9407022)
18494,POINT (30.2841954379544 59.940826)
