,lat,lng
5074,59.9283983,30.2606873
5077,59.94545285,30.2741826862842
5200,59.9395658,30.2635335424482
5305,59.94125210000001,30.280978
5310,59.9418743,30.2831636
5344,59.9423436,30.2892548
5395,59.9298774,30.2703357
5398,59.94937289999999,30.2777453
5406,59.9418116,30.264137473659506
5417,59.94937289999999,30.2777453
5423,59.9377608,30.269208102329397
5430,59.93122005,30.2623087215209
5433,59.943503,30.2614374
5645,59.93907745,30.277952701182798
5696,59.9434175,30.288037
5716,59.94309215,30.286234539357
5779,59.93742475,30.267419874984498
5795,59.94409425,30.271196503351398
5837,59.94497085,30.282811250713
5839,59.9415076,30.286807967083398
5990,59.9381387,30.2771458
6010,59.9382549,30.2814657
6021,59.9403818,30.2889745
6098,59.9363493,30.2674097902951
6105,59.94618925,30.2601725993597
6111,59.93880655,30.2685013175795
6117,59.9407478,30.274091143015102
6250,59.9407022,30.2776221
6285,59.94185645,30.269474911532697
6344,59.93877809999999,30.2866729
6405,59.94090840000001,30.264523200000006
6428,59.9387988,30.2673260593438
6445,59.93370065,30.269705685061695
6546,59.9403919,30.29158
6589,59.9393753,30.2691201
6595,59.94067765,30.2624620624236
6706,59.93999640000001,30.2912801399271
6740,59.9455904,30.2820916098349
6755,59.9298774,30.2703357
6794,59.935920900000006,30.2796929624584
6819,59.9411197,30.262614719311102
6934,59.93903565,30.2906362633354
6939,59.9351792,30.271216
7076,59.9381821,30.2831013
7117,59.93558170000001,30.2654040263657
7121,59.94777480000001,30.2694986
7124,59.9364427,30.264657570165202
7132,59.9392658,30.2739962433872
7148,59.94434329999999,30.2742783752001
7236,59.9404955,30.2913414608531
7251,59.9424524,30.269790231416
7267,59.947477600000006,30.2800262
7361,59.939235,30.279397
7453,59.94703565,30.2642422695108
7552,59.9416573,30.2657998926791
7555,59.947203,30.277590000000004
7640,59.94271155,30.2863968045258
7712,59.9436855,30.2866574
7735,59.94228029999999,30.283971606153894
7776,59.946049,30.2850281
7803,59.94783715,30.280816162554608
7811,59.94448135,30.271514165943998
7819,59.93983225,30.2733969
7827,59.945825600000006,30.287244
7843,59.9398505,30.271618242058395
7891,59.94497085,30.282811250713
7899,59.94539570000001,30.278591335181304
8046,59.9412281,30.2777199
8068,59.93930705,30.275757467265702
8117,59.9468881,30.2840381
8131,59.93399820000001,30.269228700000006
8147,59.93805615,30.2699837459382
8159,59.9455072,30.272079700000006
8173,59.94369810000001,30.2748841
8216,59.94841360000001,30.2763092317519
8285,59.94269505,30.262492165555106
8430,59.9468881,30.2840381
8449,59.9329711,30.2670211
8464,59.94937289999999,30.2777453
8469,59.9457313,30.261489541666798
8473,59.945064,30.2726719
8474,59.9418495,30.268383766813105
8492,59.94530105,30.281523911971608
8554,59.945731,30.280113977714706
8667,59.939271,30.253291725594696
8709,59.9380334,30.284181
8716,59.9375215,30.2820283
8748,59.94357585,30.285265432662396
8792,59.94206265,30.2709532353269
8798,59.94067625,30.2649037439235
8816,59.94636525,30.280513899899503
8820,59.93455145,30.2722096833096
8891,59.94157095,30.2921723853586
8946,59.936834,30.2828192
8959,59.93945085,30.286874586332694
8965,59.9413405,30.2878843986913
9023,59.93907745,30.277952701182798
9045,59.9417042,30.2799336
9140,59.9462759,30.2821127
9152,59.9466697,30.275550050205396
9176,59.935809,30.267324592356506
9182,59.9473618,30.2841847
9186,59.93733615,30.267011672137
9227,59.942126,30.285391116824197
9228,59.9363067,30.269276
9274,59.9410629,30.2708974
9332,59.935427,30.276184241441694
9466,59.9424239,30.2857068180514
9488,59.93730625,30.27085205
9501,59.9446848,30.2741283
9509,59.94785160000001,30.269367647376495
9530,59.94658199999999,30.2784018
9538,59.94686020000001,30.2711577
9585,59.93994085,30.289519018916202
9776,59.9447057,30.2865585
9817,59.94142220000001,30.2797737
9845,59.9428172,30.2644321186923
9851,59.9329711,30.2670211
9858,59.94596070000001,30.2768908
9861,59.93733615,30.267011672137
9864,59.94525055,30.261409428371397
10012,59.9424165,30.2889407088606
10085,59.9401281,30.2749305
10110,59.9419057,30.2796966
10129,59.9427366,30.2821097
10201,59.9448809,30.2626723
10204,59.94791565,30.2736190846078
10230,59.943884,30.2640523
10240,59.9334504,30.2665450813723
10245,59.943769,30.278759
10349,59.9415836,30.2773024
10444,59.93853805,30.2765916477418
10479,59.94449815,30.286694999217
10529,59.93046485,30.257303997667197
10558,59.94758815,30.2696800452043
10583,59.9446848,30.2741283
10590,59.9474983,30.273925909806103
10689,59.938538,30.283467
10731,59.9435944,30.263630411099
10818,59.93877055,30.2728793789255
10823,59.93827,30.2744792022193
10824,59.9395067,30.2824865
10858,59.9426221,30.2802445
10895,59.9386045,30.263538300000004
10897,59.94215875,30.268027329413
10907,59.9414002,30.2709345149289
10913,59.9437943,30.266574937096802
